album_id,title,artist_id
204,Muso Ko,198
205,My Generation - The Very Best Of The Who,144
206,My Way: The Best Of Frank Sinatra [Disc 1],85
207,Na Pista,20
208,Nevermind,110
209,New Adventures In Hi-Fi,124
210,News Of The World,51
211,Nielsen: The Six Symphonies,267
212,No More Tears (Remastered),114
213,No Prayer For The Dying,90
214,No Security,142
215,O Samba Poconé,130
216,Olodum,112
217,One By One,84
218,Original Soundtracks 1,116
219,Os Cães Ladram Mas A Caravana Não Pára,121
220,Out Of Exile,8
221,Out Of Time,122
222,Outbreak,79
223,Pachelbel: Canon & Gigue,208
224,Palestrina: Missa Papae Marcelli & Allegri: Miserere,244
225,Pavarotti's Opera Made Easy,227
226,Pearl Jam,118
227,Physical Graffiti [Disc 1],22
228,Physical Graffiti [Disc 2],22
229,Piece Of Mind,90
230,Plays Metallica By Four Cellos,7
231,Pop,150
232,Powerslave,90
233,Prenda Minha,16
234,Presence,22
235,Prokofiev: Romeo & Juliet,245
236,Prokofiev: Symphony No.1,232
237,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,248
238,Puccini: Madama Butterfly - Highlights,225
239,Purcell: Music for the Queen Mary,263
240,Purcell: The Fairy Queen,261
241,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [uk]",139
242,Purpendicular,58
243,Quanta Gente Veio Ver (Live),27
244,Quanta Gente Veio ver--Bônus De Carnaval,27
245,Quiet Songs,197
246,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,36
247,Rattle And Hum,150
248,Raul Seixas,126
249,Realize,199
250,ReLoad,50
251,Respighi:Pines of Rome,226
252,Restless and Wild,2
253,Retrospective I (1974-1980),128
254,Revelations,8
255,Ride The Lightning,50
256,Riot Act,118
257,Rock In Rio [cd1],90
258,Rock In Rio [cd2],90
259,Roda De Funk,86
260,Rotten Apples: Greatest Hits,131
261,Sambas De Enredo 2001,21
262,Santana - As Years Go By,59
263,Santana Live,59
264,Scheherazade,233
265,Schubert: The Late String Quartets & String Quintet (3 CD's),272
266,SCRIABIN: Vers la flamme,250
267,Seek And Shall Find: More Of The Best (1963-1981),104
268,Serie Sem Limite (Disc 1),145
269,Serie Sem Limite (Disc 2),145
270,Seventh Son of a Seventh Son,90
271,Sex Machine,91
272,Sibelius: Finlandia,237
273,Sir Neville Marriner: A Celebration,215
274,Slaves And Masters,58
275,Somewhere in Time,90
276,South American Getaway,259
277,Sozinho Remix Ao Vivo,16
278,Speak of the Devil,114
279,St. Anger,50
280,Stormbringer,58
281,Strauss: Waltzes,226
282,Supernatural,59
283,Surfing with the Alien (Remastered),95
284,Synkronized,92
285,"Szymanowski: Piano Works, Vol. 1",266
286,Tangents,143
287,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",243
288,Tchaikovsky: The Nutcracker,223
289,Temple of the Dog,204
290,Ten,118
291,The Battle Rages On,58
292,The Beast Live,117
293,The Best Of 1980-1990,150
294,The Best of Beethoven,203
295,The Best Of Billy Cobham,10
296,The Best Of Buddy Guy - The Millenium Collection,15
297,The Best of Ed Motta,37
298,The Best Of Men At Work,105
299,The Best Of R.E.M.: The IRS Years,124
300,"The Best Of Van Halen, Vol. I",152
301,The Colour And The Shape,84
302,The Cream Of Clapton,81
303,The Doors,140
304,The Essential Miles Davis [Disc 1],68
305,The Essential Miles Davis [Disc 2],68
306,The Final Concerts (Disc 2),58
307,The Last Night of the Proms,224
308,The Number of The Beast,90
309,"The Office, Season 1",156
310,"The Office, Season 2",156
311,"The Office, Season 3",156
312,The Police Greatest Hits,141
313,The Real Thing,82
314,The Return Of The Space Cowboy,92
315,The Singles,138
316,The Song Remains The Same (Disc 1),22
317,The Song Remains The Same (Disc 2),22
318,The Ultimate Relexation Album,262
319,The World of Classical Favourites,214
320,The X Factor,90
321,Transmission,143
322,Tribute,114
323,UB40 The Best Of - Volume Two [uk],151
324,Un-Led-Ed,157
325,Unplugged,81
326,Unplugged [live],52
327,Up An' Atom,69
328,Use Your Illusion I,88
329,Use Your Illusion II,88
330,Van Halen,152
331,Van Halen III,152
332,Vault: Def Leppard's Greatest Hits,78
333,Vinícius De Moraes - Sem Limite,70
334,Vinicius De Moraes,72
335,Virtual XI,90
336,Vivaldi: The Four Seasons,209
337,Volume Dois,146
338,Voodoo Lounge,142
339,Vozes do MPB,21
340,Vs.,118
341,Wagner: Favourite Overtures,221
342,Walking Into Clarksdale,115
343,War,150
344,Warner 25 Anos,6
345,Weill: The Seven Deadly Sins,264
346,Worlds,202
347,Zooropa,150
